CEP,TOT_END,TOT_DP,TOT_TIPO_101,TOT_TIPO_102,TOT_TIPO_103,TOT_TIPO_104,TOT_DOM_COND,TOT_DC,TOT_EAGRO,TOT_EENSINO,TOT_ESAUDE,TOT_ERELIG,TOT_EOF,TOT_ECR,LOGRADOURO,BAIRRO
59012520,33,15,15,0,0,0,0,0,0,1,0,0,16,3,Rua Juvino Barreto,Ribeira
59020090,187,154,11,0,142,1,142,0,0,0,2,1,29,4,Rua Mossoró,Tirol
59020110,209,153,14,0,139,0,139,0,0,0,7,1,48,2,Rua Açu,Tirol
59020500,75,49,12,0,36,1,36,0,0,0,1,3,25,2,Avenida Marechal Floriano Peixoto,Tirol
59020600,115,89,12,7,70,0,70,0,0,0,2,2,20,3,Avenida Deodoro da Fonseca,Tirol
59025000,108,42,37,1,1,3,0,0,0,1,2,0,60,4,Avenida Rio Branco,Cidade Alta
59025001,44,2,2,0,0,0,0,0,0,0,1,0,41,0,Avenida Rio Branco,Cidade Alta
59025002,116,61,5,1,50,6,45,1,0,3,1,0,53,0,Avenida Rio Branco,Cidade Alta
59025003,34,2,2,0,0,0,0,0,0,1,0,0,31,0,Avenida Rio Branco,Cidade Alta
59025010,34,24,20,0,0,4,0,0,0,0,1,0,12,0,Rua Correia Teles,Cidade Alta
59025020,66,42,11,0,19,12,17,0,0,0,0,0,25,0,Rua Coronel José Pinto,Cidade Alta
59025030,62,52,15,1,26,11,27,1,0,1,0,0,7,1,Rua São Tomé,Cidade Alta
59025040,34,32,25,3,4,0,0,0,0,0,0,0,1,1,Rua Felinto Manso Maciel,Cidade Alta
59025050,27,15,15,0,0,0,0,0,0,0,1,0,9,3,Rua Doutor Ponciano Barbosa,Cidade Alta
59025060,41,6,6,0,0,0,0,0,0,0,1,0,35,0,Rua Auta de Souza,Cidade Alta
59025070,2,0,0,0,0,0,0,0,0,0,0,0,2,0,Rua Coronel Bezerra,Cidade Alta
59025085,5,3,3,0,0,0,0,0,0,0,0,0,2,0,Praça do Estudante,Cidade Alta
59025090,93,12,6,0,6,0,6,0,0,1,2,0,79,0,Rua Ulisses Caldas,Cidade Alta
59025100,164,88,15,0,73,0,68,0,0,0,3,0,73,1,Rua Vigário Bartolomeu,Cidade Alta
59025110,36,33,33,0,0,0,0,0,0,0,0,0,4,0,Rua Letícia Cerqueira,Cidade Alta
59025120,45,29,18,0,10,1,6,0,0,0,0,0,16,2,Rua General Varela,Cidade Alta
59025130,29,29,28,0,1,0,0,0,0,0,0,0,0,0,Rua Padre Calazans,Cidade Alta
59025140,139,105,33,0,72,0,72,0,0,0,4,0,22,10,Rua José de Alencar,Cidade Alta
59025150,41,5,5,0,0,0,0,0,0,0,0,0,35,2,Rua General Osório,Cidade Alta
59025160,64,41,27,0,13,1,13,0,0,0,0,0,19,5,Rua Professor Zuza,Cidade Alta
59025170,59,23,20,0,3,0,0,0,0,1,0,0,38,0,Rua Apodi,Cidade Alta
59025180,38,38,18,0,20,0,15,0,0,0,0,0,0,0,Rua Major Newton Leite,Cidade Alta
59025200,314,128,34,0,89,5,74,0,0,0,5,0,179,5,Rua Felipe Camarão,Cidade Alta
59025210,9,9,9,0,0,0,0,0,0,0,0,0,0,0,Travessa Joaquim Guedes,Cidade Alta
59025220,6,6,6,0,0,0,0,0,0,0,0,0,1,0,Rua Adelaide Moreira,Cidade Alta
59025230,20,17,16,0,1,0,0,0,0,0,0,0,2,2,Rua Escoteiro Andante,Cidade Alta
59025240,22,22,22,0,0,0,0,0,0,0,0,0,0,0,Rua Íris,Cidade Alta
59025250,52,36,18,0,18,0,17,0,0,0,0,0,17,1,Rua Mermoz,Cidade Alta
59025260,135,31,5,0,26,0,15,0,0,0,1,0,101,2,Rua Coronel Cascudo,Cidade Alta
59025270,31,24,24,0,0,0,0,0,0,0,0,0,8,0,Rua da Conceição,Cidade Alta
59025275,28,26,26,0,0,0,0,0,0,0,0,0,3,0,Largo Junqueira Aires,Cidade Alta
59025280,51,41,0,1,38,4,38,2,0,0,0,1,7,0,Avenida Câmara Cascudo,Cidade Alta
59025290,13,2,2,0,0,0,0,0,0,0,0,1,10,0,Praça Padre João Maria,Cidade Alta
59025300,2,0,0,0,0,0,0,0,0,0,0,0,2,0,Praça Sete de Setembro,Cidade Alta
59025310,66,54,45,7,2,0,7,0,0,0,0,0,13,0,Rua Vaz Gondim,Cidade Alta
59025320,82,63,3,0,60,0,57,0,0,0,1,0,18,0,Rua Doutor Heitor Carrilho,Cidade Alta
